ticker,earn_date,type,strike,pre_date,post_date,price_pre,price_post,price_change,IV_pre,IV_post,IV_crush,RV30
AAP,2023-08-23,put,70.0,2023-08-22,2023-08-24,11.1,7.4,-3.6999999999999993,,,,0.13139565662521482
AAP,2023-11-15,call,58.0,2023-11-14,2023-11-16,3.99,3.2,-0.79,3.2954629510705553,2.6411566483777134,0.654306302692842,0.23947072858345592
AAP,2023-11-15,put,58.0,2023-11-14,2023-11-16,4.02,2.85,-1.1699999999999995,3.3269128771494003,2.358105439493928,0.9688074376554723,0.23947072858345592
AAP,2024-02-28,call,62.5,2024-02-27,2024-02-29,9.5,5.35,-4.15,,4.104182072082714,,0.17318245210161556
AAP,2024-02-28,put,62.5,2024-02-27,2024-02-29,8.15,9.1,0.9499999999999993,,,,0.17318245210161556
AAP,2024-05-29,call,72.0,2024-05-28,2024-05-30,4.75,1.82,-2.9299999999999997,3.1598813550972724,1.207530139247553,1.9523512158497194,0.2323078127522737
AAP,2024-05-29,put,72.0,2024-05-28,2024-05-30,5.75,2.58,-3.17,3.834441235265961,1.7200011806788003,2.1144400545871607,0.2323078127522737
AAP,2024-08-22,call,62.5,2024-08-21,2024-08-23,8.5,0.6,-7.9,,0.45648980592229876,,0.1921104823045284
AAP,2024-08-22,put,62.5,2024-08-21,2024-08-23,9.9,4.08,-5.82,,3.1331990277351887,,0.1921104823045284
AAP,2024-11-14,call,40.0,2024-11-13,2024-11-15,7.2,1.05,-6.15,,1.254116413776029,,0.20197819289827348
AAP,2024-11-14,put,40.0,2024-11-13,2024-11-15,3.12,4.18,1.0599999999999996,3.744868752030382,,,0.20197819289827348
AAP,2025-02-26,call,45.0,2025-02-25,2025-02-27,6.47,10.45,3.9799999999999995,,,,0.18574142435277952
AAP,2025-02-26,put,45.0,2025-02-25,2025-02-27,7.6,3.06,-4.539999999999999,,3.2639235334919117,,0.18574142435277952
AAP,2025-05-22,call,33.0,2025-05-21,2025-05-23,1.66,10.88,9.22,2.40744049722106,,,0.14494011349235847
AAP,2025-05-22,put,33.0,2025-05-21,2025-05-23,3.4,0.26,-3.1399999999999997,4.951465364336954,0.38061100509128604,4.5708543592456685,0.14494011349235847
AAP,2025-08-14,call,60.0,2025-08-13,2025-08-15,6.55,4.43,-2.12,,3.5378188020250274,,0.12915143378512273
AAP,2025-08-14,put,60.0,2025-08-13,2025-08-15,3.6,0.01,-3.5900000000000003,2.87954295577468,0.01095088190946737,2.8685920738652126,0.12915143378512273
AAP,2025-10-30,call,57.0,2025-10-29,2025-10-31,3.55,2.1,-1.4499999999999997,2.9825135437752155,1.7617968964952182,1.2207166472799973,0.14233597893725505
AAP,2025-10-30,put,57.0,2025-10-29,2025-10-31,4.77,7.75,2.9800000000000004,4.018507937656513,,,0.14233597893725505
ABBV,2022-02-02,call,135.0,2022-02-01,2022-02-03,4.4,12.52,8.12,1.5580851321211462,4.448318503457877,-2.8902333713367305,0.3745993178606595
ABBV,2022-02-02,put,135.0,2022-02-01,2022-02-03,3.85,0.39,-3.46,1.3693894152533597,0.14161188091495952,1.2277775343384,0.3745993178606595
ABBV,2023-02-09,call,145.0,2023-02-08,2023-02-10,13.96,5.98,-7.98,4.6188198326568894,1.9727406583051443,2.646079174351745,0.28267485570061207
ABBV,2023-02-09,put,145.0,2023-02-08,2023-02-10,7.15,0.31,-6.840000000000001,2.366378540624293,0.1056383235233699,2.260740217100923,0.28267485570061207
ABBV,2023-04-27,call,155.0,2023-04-26,2023-04-28,8.2,11.25,3.0500000000000007,2.532230508429063,3.4775712743649105,-0.9453407659358475,0.39096717440649636
ABBV,2023-04-27,put,155.0,2023-04-26,2023-04-28,2.35,4.7,2.35,0.7294294429640945,1.4558494154523423,-0.7264199724882477,0.39096717440649636
ABBV,2023-07-27,call,140.0,2023-07-26,2023-07-28,9.85,7.75,-2.0999999999999996,3.370654027426509,2.650024992696094,0.7206290347304152,0.22690626681598933
ABBV,2023-07-27,put,140.0,2023-07-26,2023-07-28,2.41,1.07,-1.34,0.8277732086579117,0.3693109092085361,0.4584622994493756,0.22690626681598933
ABBV,2024-07-25,call,175.0,2024-07-24,2024-07-26,9.0,7.78,-1.2199999999999998,2.461454856291646,2.126973131791396,0.3344817245002498,0.3525487105616576
ABBV,2024-07-25,put,175.0,2024-07-24,2024-07-26,7.75,0.01,-7.74,2.1253206037599313,0.005394050915163086,2.119926552844768,0.3525487105616576
ABBV,2024-10-30,call,185.0,2024-10-29,2024-10-31,7.9,11.92,4.02,2.0428236191496176,3.0858904645320666,-1.043066845382449,0.26483413060733396
ABBV,2024-10-30,put,185.0,2024-10-29,2024-10-31,22.18,0.03,-22.15,,0.010728769809516515,,0.26483413060733396
ABBV,2025-07-31,call,185.0,2025-07-30,2025-08-01,8.1,22.4,14.299999999999999,2.094675114818687,,,0.29178879466305313
ABBV,2025-07-31,put,185.0,2025-07-30,2025-08-01,19.3,2.37,-16.93,,0.6168410975461275,,0.29178879466305313
ADBE,2021-12-16,call,610.0,2021-12-15,2021-12-17,31.95,33.6,1.6500000000000021,2.5069758144436727,2.6368146038263696,-0.12983878938269688,0.2933907066351411
ADBE,2021-12-16,put,610.0,2021-12-15,2021-12-17,52.03,52.45,0.4200000000000017,4.096092536942588,4.129259165009115,-0.03316662806652726,0.2933907066351411
ADBE,2022-03-22,call,457.5,2022-03-21,2022-03-23,16.93,0.32,-16.61,1.769628919244975,0.030104715089192158,1.7395242041557828,0.2823689107953024
ADBE,2022-03-22,put,457.5,2022-03-21,2022-03-23,23.7,27.41,3.710000000000001,2.4860120361060236,2.8753437550916767,-0.3893317189856531,0.2823689107953024
ADBE,2022-06-16,call,400.0,2022-06-15,2022-06-17,15.6,8.1,-7.5,1.8652601455800788,0.9666394895755513,0.8986206560045275,0.22739508388197602
ADBE,2022-06-16,put,400.0,2022-06-15,2022-06-17,78.75,32.95,-45.8,,3.955464486439635,,0.22739508388197602
ADBE,2022-09-15,call,385.0,2022-09-14,2022-09-16,31.45,3.28,-28.169999999999998,3.9158074103982417,0.4047369434478881,3.5110704669503536,0.16711275212418825
ADBE,2022-09-15,put,385.0,2022-09-14,2022-09-16,30.8,61.3,30.499999999999996,3.8411265878182954,,,0.16711275212418825
ADBE,2022-12-15,call,345.0,2022-12-14,2022-12-16,22.85,18.4,-4.450000000000003,3.1723599392752004,2.55287503240323,0.6194849068719703,0.2855383215310682
ADBE,2022-12-15,put,345.0,2022-12-14,2022-12-16,40.2,10.35,-29.85,,1.4403891471253467,,0.2855383215310682
ADBE,2023-03-15,call,337.5,2023-03-14,2023-03-16,9.95,22.45,12.5,1.4089740495557188,3.1861351413920915,-1.7771610918363727,0.20039951381024027
ADBE,2023-03-15,put,337.5,2023-03-14,2023-03-16,20.4,3.3,-17.099999999999998,2.900889431316097,0.4715654983780596,2.429323932938037,0.20039951381024027
ADBE,2023-06-15,call,450.0,2023-06-14,2023-06-16,74.68,42.9,-31.78000000000001,,4.573352172800866,,0.29419968498409166
ADBE,2023-06-15,put,450.0,2023-06-14,2023-06-16,13.55,0.63,-12.92,1.4457143239699828,0.07028067447490599,1.3754336494950767,0.29419968498409166
ADBE,2023-09-14,call,545.0,2023-09-13,2023-09-15,29.95,59.7,29.750000000000004,2.6306775404195624,,,0.2249762660559893
ADBE,2023-09-14,put,545.0,2023-09-13,2023-09-15,23.3,5.95,-17.35,2.0517716308039216,0.5261515841538064,1.5256200466501153,0.2249762660559893
ADBE,2023-12-13,call,602.5,2023-12-12,2023-12-14,36.84,58.0,21.159999999999997,2.927970135471171,4.618322832816925,-1.6903526973457539,0.22471476274950591
ADBE,2023-12-13,put,602.5,2023-12-12,2023-12-14,5.88,65.15,59.27,0.47068220237592323,,,0.22471476274950591
ADBE,2024-03-14,call,570.0,2024-03-13,2024-03-15,61.5,40.33,-21.17,,3.389753526862357,,0.1668743912288076
ADBE,2024-03-14,put,570.0,2024-03-13,2024-03-15,28.0,50.38,22.380000000000003,2.357379734146221,4.245006690738585,-1.8876269565923636,0.1668743912288076
ADBE,2024-06-13,call,470.0,2024-06-12,2024-06-14,125.95,58.45,-67.5,,,,0.22560056955143545
ADBE,2024-06-13,put,470.0,2024-06-12,2024-06-14,42.5,15.3,-27.2,4.34330518255596,1.5627621718999853,2.7805430106559745,0.22560056955143545
ADBE,2024-09-12,call,560.0,2024-09-11,2024-09-13,72.3,92.2,19.900000000000006,,,,0.21546602316274951
ADBE,2024-09-12,put,560.0,2024-09-11,2024-09-13,47.48,43.18,-4.299999999999997,4.071557988138627,3.7019042118879506,0.36965377625067664,0.21546602316274951
ADBE,2024-12-11,call,540.0,2024-12-10,2024-12-12,130.5,23.0,-107.5,,2.037542660861351,,0.20092061906554304
ADBE,2024-12-11,put,540.0,2024-12-10,2024-12-12,29.3,37.83,8.529999999999998,2.603896002547713,3.3627397862295676,-0.7588437836818547,0.20092061906554304
ADBE,2025-03-12,call,445.0,2025-03-11,2025-03-13,21.1,0.08,-21.020000000000003,2.2689016254696637,0.004605579390124515,2.264296046079539,0.21083928333380508
ADBE,2025-03-12,put,445.0,2025-03-11,2025-03-13,27.65,84.97,57.32,2.9820863197252887,,,0.21083928333380508
ADBE,2025-06-12,call,415.0,2025-06-11,2025-06-13,36.15,12.89,-23.259999999999998,4.176849924526102,1.4846389033968252,2.6922110211292765,0.16857111993115967
ADBE,2025-06-12,put,415.0,2025-06-11,2025-06-13,23.35,18.35,-5.0,2.7001902520184617,2.122018269166218,0.5781719828522438,0.16857111993115967
ADBE,2025-09-11,call,365.0,2025-09-10,2025-09-12,14.15,0.01,-14.14,1.8540939051057987,,,0.161986946291606
ADBE,2025-09-11,put,365.0,2025-09-10,2025-09-12,28.9,20.3,-8.599999999999998,3.8015656575088275,2.66904944520195,1.1325162123068773,0.161986946291606
ADM,2022-01-25,call,67.5,2022-01-24,2022-01-26,2.45,3.34,0.8899999999999997,1.7356294049383187,2.368017674026325,-0.6323882690880063,0.3545219158145254
ADM,2022-01-25,put,67.5,2022-01-24,2022-01-26,2.7,1.39,-1.3100000000000003,1.919779526137435,0.9896148077861909,0.9301647183512441,0.3545219158145254
ADM,2022-04-26,call,91.0,2022-04-25,2022-04-27,3.37,13.64,10.27,1.7709474968466556,,,0.2921637562419961
ADM,2022-04-26,put,91.0,2022-04-25,2022-04-27,4.65,0.66,-3.99,2.4522072151902794,0.35062630788224297,2.1015809073080365,0.2921637562419961
ADM,2022-07-26,call,75.0,2022-07-25,2022-07-27,2.9,3.48,0.5800000000000001,1.8492771443877258,2.220171878131466,-0.37089473374374005,0.22919171599359373
ADM,2022-07-26,put,75.0,2022-07-25,2022-07-27,1.4,0.88,-0.5199999999999999,0.897349195846312,0.5652314886937734,0.33211770715253863,0.22919171599359373
ADM,2022-10-25,call,88.0,2022-10-24,2022-10-26,4.47,4.39,-0.08000000000000007,2.4310711811638215,2.3874460224258844,0.04362515873793704,0.3246361840566419
ADM,2022-10-25,put,88.0,2022-10-24,2022-10-26,2.04,2.97,0.9300000000000002,1.1136663111849998,1.6201299593822966,-0.5064636481972968,0.3246361840566419
ADM,2023-01-26,call,85.0,2023-01-25,2023-01-27,2.85,2.31,-0.54,1.6029900646142643,1.2985121197622949,0.30447794485196944,0.3027777521673771
ADM,2023-01-26,put,85.0,2023-01-25,2023-01-27,1.85,5.1,3.2499999999999996,1.0457701682462337,2.8795429557746792,-1.8337727875284455,0.3027777521673771
ADM,2023-04-25,call,80.0,2023-04-24,2023-04-26,2.6,1.55,-1.05,1.5536469715815302,0.9247206875178979,0.6289262840636323,0.28427584131411715
ADM,2023-04-25,put,80.0,2023-04-24,2023-04-26,2.0,1.8,-0.19999999999999996,1.2007834904833024,1.080998876439776,0.11978461404352636,0.28427584131411715
ADM,2023-07-25,call,82.0,2023-07-24,2023-07-26,3.3,2.45,-0.8499999999999996,1.9249069297707702,1.4279797120976063,0.49692721767316383,0.33853483787345306
ADM,2023-07-25,put,82.0,2023-07-24,2023-07-26,1.2,4.7,3.5,0.7041786693987024,2.750701977472679,-2.0465233080739766,0.33853483787345306
ADM,2023-10-24,call,75.0,2023-10-23,2023-10-25,1.45,2.55,1.0999999999999999,0.9227245818824784,1.6255477911805112,-0.7028232092980328,0.283636516966831
