ticker,earn_date,pre_date,post_date,strike,IV_pre_call,IV_pre_put,IV_post_call,IV_post_put,IV_pre,IV_post,IV_crush,RV30
YUM,2022-02-09,2022-02-08,2022-02-10,125.0,1.2996396522446199,1.4979025558587158,0.5906027359202317,0.5243587248777521,1.3987711040516677,0.5574807303989919,0.8412903736526758,0.27171601168662063
YUM,2022-05-04,2022-05-03,2022-05-05,115.0,0.9130044506963619,0.9112349816817906,0.3840207943355915,0.794597879000196,0.9121197161890763,0.5893093366678938,0.3228103795211825,0.4328040270998824
YUM,2022-08-03,2022-08-02,2022-08-04,120.0,1.7933391675997588,2.5194513270613927,0.7949787371513515,,2.156395247330576,0.7949787371513515,1.3614165101792244,0.24280133780261642
YUM,2022-11-02,2022-11-01,2022-11-03,120.0,0.9386934969787686,1.9597413137511182,4.356359924383435,1.8598407650742812,1.4492174053649434,3.108100344728858,-1.6588829393639148,0.3286587082178056
YUM,2023-02-08,2023-02-07,2023-02-09,125.0,1.8748501026440487,1.1068714189526732,,2.073244618965343,1.4908607607983608,2.073244618965343,-0.582383858166982,0.3527179937295203
YUM,2023-05-03,2023-05-02,2023-05-04,140.0,1.707727209917583,0.5164214424779735,0.9888825829476648,0.4479973347002169,1.1120743261977784,0.7184399588239408,0.3936343673738375,0.39016050747364733
YUM,2023-08-02,2023-08-01,2023-08-03,135.0,2.1263640318643398,1.9020194077536536,0.8127206630279034,2.808394488967755,2.0141917198089967,1.8105575759978292,0.2036341438111675,0.4372662399848436
YUM,2023-11-01,2023-10-31,2023-11-02,125.0,1.3188078777975811,2.380277600383004,3.4419543227661817,2.8027030354518128,1.8495427390902925,3.122328679108997,-1.2727859400187045,0.3718946808890563
YUM,2024-02-07,2024-02-06,2024-02-08,130.0,0.48301721478028997,2.436386182308716,2.097666663975078,2.8795429557746806,1.4597016985445028,2.488604809874879,-1.0289031113303764,0.2882903061158213
YUM,2024-05-01,2024-04-30,2024-05-02,140.0,1.3619376022060563,1.0296659113714355,0.8862247966658295,0.43089149053482745,1.1958017567887458,0.6585581436003285,0.5372436131884173,0.3617304738113092
YUM,2024-08-06,2024-08-05,2024-08-07,130.0,3.227760920174043,1.4035232980456507,0.9915149234822259,1.1454968970969572,2.315642109109847,1.0685059102895915,1.2471361988202554,0.2956575860012245
YUM,2024-11-05,2024-11-04,2024-11-06,130.0,1.728800111492832,3.138226205546135,0.4203833224932272,2.118995376773269,2.4335131585194834,1.2696893496332482,1.1638238088862352,0.3635215075827949
YUM,2025-02-06,2025-02-05,2025-02-07,130.0,1.2605669657723961,1.9935568054905457,3.3238983266138953,0.9427988852234509,1.627061885631471,2.1333486059186733,-0.5062867202872023,0.35351907030806007
YUM,2025-04-30,2025-04-29,2025-05-01,145.0,1.744568798294119,2.3829250759789056,1.5825719140136183,0.5152417053611389,2.0637469371365125,1.0489068096873786,1.0148401274491339,0.3179073831932278
YUM,2025-08-05,2025-08-04,2025-08-06,145.0,1.8040855708152834,0.7431764927700425,1.8801411639125225,1.3445406355437541,1.273631031792663,1.6123408997281383,-0.3387098679354754,0.24734452361989534
YUM,2025-11-04,2025-11-03,2025-11-05,140.0,1.8138873595846245,2.056800375328243,1.7762160703149685,3.4184530272690954,1.9353438674564338,2.597334548792032,-0.661990681335598,0.3806850316915974
JPM,2022-04-13,2022-04-12,2022-04-14,134.0,0.5364135689448034,1.7730718152427092,0.5864562985185967,2.220442142239892,1.1547426920937562,1.4034492203792444,-0.24870652828548812,0.24179897524354144
JPM,2022-07-14,2022-07-13,2022-07-15,112.0,1.947463649953797,1.9326241555061527,1.6007242525052912,1.3077439272388427,1.940043902729975,1.454234089872067,0.48580981285790803,0.21614551389734452
JPM,2025-01-15,2025-01-14,2025-01-16,235.0,,0.7777587992985655,,0.5515075266147259,0.7777587992985655,0.5515075266147259,0.2262512726838396,0.2789587896272863
JPM,2025-07-15,2025-07-14,2025-07-16,275.0,2.832796956836324,1.701841923844974,2.61105908298189,0.7173487774803384,2.267319440340649,1.664203930231114,0.6031155101095349,0.2468176233854507
JPM,2025-10-14,2025-10-13,2025-10-15,300.0,,,2.34491448835894,0.08944809383692286,,1.2171812910979314,,0.2872486975155884
JCI,2022-02-02,2022-02-01,2022-02-03,72.5,1.152914018301641,1.503191313218774,4.831829676241161,1.6420317814097107,1.3280526657602074,3.2369307288254356,-1.9088780630652282,0.27192612665912563
JCI,2022-05-04,2022-05-03,2022-05-05,62.0,1.0010253539920018,1.8965768732018562,0.035245671008846305,2.2833856145130396,1.448801113596929,1.159315642760943,0.28948547083598597,0.33851111120510774
JCI,2022-08-04,2022-08-03,2022-08-05,55.0,1.6516949554193072,2.3122293280862585,2.0265618835781685,2.7311124054161704,1.9819621417527828,2.3788371444971697,-0.3968750027443868,0.5680298708326793
JCI,2022-11-03,2022-11-02,2022-11-04,57.5,1.7214245365249936,1.5029038800158838,,1.1862004117935023,1.6121642082704386,1.1862004117935023,0.4259637964769363,0.7420457699380979
JCI,2023-02-01,2023-01-31,2023-02-02,67.5,3.264460505846179,1.2593490576779791,0.35147325879587854,2.59500649770259,2.261904781762079,1.4732398782492342,0.7886649035128448,0.34792862182738776
JCI,2023-08-02,2023-08-01,2023-08-03,67.5,2.4106719892081077,2.0547702482581225,0.7062715312750079,0.7128328531334064,2.232721118733115,0.7095521922042072,1.523168926528908,0.3438673148924111
JCI,2023-12-12,2023-12-11,2023-12-13,57.5,2.6391413691152295,2.587276607650032,2.121729593573768,3.255564062140613,2.613208988382631,2.6886468278571902,-0.07543783947455918,0.4044875130833534
JCI,2024-01-30,2024-01-29,2024-01-31,57.5,1.6380528610966352,2.153326477254951,2.9481439609665827,1.3362063897047092,1.895689669175793,2.142175175335646,-0.24648550615985299,0.3836330331600149
JCI,2024-05-01,2024-04-30,2024-05-02,65.0,1.5813004690690609,1.6616135470399038,1.0652223962609129,2.436386182308716,1.6214570080544823,1.7508042892848144,-0.129347281230332,0.31653134357414325
JCI,2024-07-31,2024-07-30,2024-08-01,70.0,2.5300186390839494,2.6737470537550627,2.4271759497390812,0.790134875322312,2.601882846419506,1.6086554125306967,0.9932274338888092,0.2769128545244767
JCI,2024-11-06,2024-11-05,2024-11-07,72.5,2.4425421129778044,2.4557351808865575,4.1666417351214475,1.1264331133210606,2.449138646932181,2.646537424221254,-0.19739877728907285,0.37326813302791295
JCI,2025-02-05,2025-02-04,2025-02-06,77.5,1.4492845167817443,2.167320235470627,3.065113058005186,3.344560062551538,1.8083023761261856,3.204836560278362,-1.3965341841521766,0.3177373015515766
JCI,2025-05-07,2025-05-06,2025-05-08,87.5,2.3462854226280254,1.5855485930651327,2.4066095449219276,4.7775662426937435,1.965917007846579,3.5920878938078356,-1.6261708859612565,0.3076021349114459
JCI,2025-07-29,2025-07-28,2025-07-30,105.0,,1.463211531417432,,0.3453630455789559,1.463211531417432,0.3453630455789559,1.117848485838476,0.4722470614766669
JCI,2025-11-05,2025-11-04,2025-11-06,110.0,2.087604231429538,3.5436784121077705,4.14096790497261,1.9154201861207343,2.8156413217686542,3.028194045546672,-0.2125527237780176,0.3524632619164415
HSY,2022-02-03,2022-02-02,2022-02-04,195.0,1.8419004838141022,0.7155622568097139,1.3355189082666485,1.06441417282206,1.278731370311908,1.1999665405443543,0.07876482976755383,0.38568063459657087
